_id,latLng,name,city,state,country,updatedAt
2NKLeeWYAs,"48.0389137,-119.939508",Alta Lake Golf Resort,Pateros,Washington,US,2024-02-09T00:00:00.000Z
2fTzrZCy4K,"33.4426924,-111.711489",Alta Mesa Golf Club,Mesa,Arizona,US,2024-02-09T00:00:00.000Z
YdbLfIPlDr,"39.13504,-121.052218",Alta Sierra Country Club,Grass Valley,California,US,2024-02-09T00:00:00.000Z
WQkl55H7Kw,"33.8772343,-117.855188",Alta Vista Country Club,Placentia,California,US,2024-02-09T00:00:00.000Z
HbkWirIEpx,"34.1852425,-118.122244",Altadena Golf Course,Altadena,California,US,2024-02-09T00:00:00.000Z
Eocj34zzLc,"33.400753,-105.666932",Alto Lakes Golf and Country Club,Alto,New Mexico,US,2024-02-09T00:00:00.000Z
AEmquU3oVV,"41.8085369,-91.9075331",Amana Colonies Golf Club,Amana,Iowa,US,2024-02-09T00:00:00.000Z
bI4aqIE2Qc,"35.2082862,-101.891534",Amarillo Country Club,Amarillo,Texas,US,2024-02-09T00:00:00.000Z
9kSpdhz7CW,"28.9715326,-82.0326084",Amberwood Executive Golf Course,The Villages,Florida,US,2024-02-09T00:00:00.000Z
pSF0SCrJjc,"30.6006301,-81.5425294",Amelia National Golf and Country Club,Fernandina Beach,Florida,US,2024-02-09T00:00:00.000Z
xIaQCe0od4,"30.6011111,-81.4678099",Amelia River Golf Club,Fernandina Beach,Florida,US,2024-02-09T00:00:00.000Z
E0Uf6rvGnr,"43.0006289,-86.212083",American Dunes Golf Club,Grand Haven,Michigan,US,2024-02-09T00:00:00.000Z
5lgYN4Qdxp,"42.7842133,-112.860537",American Falls Golf Club,American Falls,Idaho,US,2024-02-09T00:00:00.000Z
mJcJY0qnnO,"27.5998971,-80.3781042",American Golf Club,Vero Beach,Florida,US,2024-02-09T00:00:00.000Z
WGSpgQja0E,"44.292893,-105.510092",American Legion,Gillette,Wyoming,US,2024-02-11T05:00:00.000Z
ydLfSEFawp,"40.3656901,-77.8259203",American Legion Country Club,Mount Union,Pennsylvania,US,2024-02-09T00:00:00.000Z
McnW0Foyc3,"40.4586219,-86.1264418",American Legion Golf Course,Kokomo,Indiana,US,2024-02-11T05:00:00.000Z
b3jZDAqWDU,"35.2184767,-80.8285501",American Legion Memorial Stadium,Charlotte,North Carolina,US,2024-02-11T05:00:00.000Z
Nr9r2zd0Dt,"45.3023807,-92.3753231",Amery Golf Club,Amery,Wisconsin,US,2024-02-09T00:00:00.000Z
dbUcDC8NAV,"42.073919,-93.6600674",Ames Golf and Country Club,Ames,Iowa,US,2024-02-09T00:00:00.000Z
jBHtvKw6mq,"42.8592681,-70.9157425",Amesbury Golf and Country Club,Amesbury,Massachusetts,US,2024-02-09T00:00:00.000Z
gCOnfLNWvm,"42.8294385,-71.6066219",Amherst Country Club,Amherst,New Hampshire,US,2024-02-09T00:00:00.000Z
VLB6t7fw4j,"42.3642997,-73.1337737",Amherst Golf Club,Amherst,Massachusetts,US,2024-02-09T00:00:00.000Z
0JjKUc4U7H,"42.962815,-74.1996763",Amsterdam Municipal Golf Course,Amsterdam,New York,US,2024-02-09T00:00:00.000Z
H4BQAIQgLu,"47.5272238,-111.26912",Anaconda Hills Golf Course,Black Eagle,Montana,US,2024-02-09T00:00:00.000Z
8m3XcWvE2C,"33.8405644,-117.766955",Anaheim Hills Golf Course,Anaheim,California,US,2024-02-09T00:00:00.000Z
Ou0bEC7sJl,"33.5917093,-111.829022",Ancala Country Club,Scottsdale,Arizona,US,2024-02-09T00:00:00.000Z
VtGwy5H1OT,"61.1275332,-149.817437",Anchorage Golf Course,Anchorage,Alaska,US,2024-02-09T00:00:00.000Z
bHPuev2J7Y,"38.610771,-121.31271",Ancil Hoffman Golf Course,Carmichael,California,US,2024-02-09T00:00:00.000Z
7l3X0pwFE3,"33.6206095,-135.754898",Andalusia Country Club,La Quinta,California,US,2024-02-09T00:00:00.000Z
TeP8ntBzr1,"37.3028658,-84.974352",Anderson Country Club,Anderson,Indiana,US,2024-02-09T00:00:00.000Z
CgaXYwZpCu,"37.3028658,-84.974352",Anderson Creek Club,Spring Lake,North Carolina,US,2024-02-09T00:00:00.000Z
okaQSloYwP,"37.3028658,-84.974352",Anderson Tucker Oaks Golf Course,Redding,California,US,2024-02-09T00:00:00.000Z
NsaoSePhKg,"37.3028658,-84.974352",Andover Country Club,Andvoer,Massachusetts,US,2024-02-09T00:00:00.000Z
FPn4tnhbN5,"37.3028658,-84.974352",Andrew Johnson,Greeneville,Tennessee,US,2024-02-09T00:00:00.000Z
Fuu4GUEbz3,"37.3028658,-84.974352",Andrews Country Club,Andrews,Texas,US,2024-02-09T00:00:00.000Z
UzdC7IALtJ,"44.3864746,-71.1642608",Androscoggin Valley Country Club,Gorham,New Hampshire,US,2024-02-11T05:00:00.000Z
Vndo961dtj,"36.37379759,-105.28863",Angel Fire Country Club,Angel Fire,New Mexico,US,2024-02-11T05:00:00.000Z
ijRT4sLCVO,"40.4306688,-86.595754",Angel Hill Golf Course,Rossville,Indiana,US,2024-02-11T05:00:00.000Z
QK6uqIkdkC,"36.1740736,-115.284558",Angel Park Golf Club,Las Vegas,Nevada,US,2024-02-11T05:00:00.000Z
qQS9n145VG,"34.2679184,-118.334657",Angeles National Golf Club,Los Angeles,California,US,2024-02-11T05:00:00.000Z
1l3NeTZfWf,"42.1121261,-85.5477903",Angels Crossing Golf Club,Vicksburg,Michigan,US,2024-02-11T05:00:00.000Z
UGDoONbAyH,"41.3157081,-73.7267985",Anglebrook Golf Club,Lincolndale,New York,US,2024-02-11T05:00:00.000Z
2E4FG9yDgx,"43.10656439,-71.9011409",Angus Lea Golf Course,Hillsborough,New Hampshire,US,2024-02-11T05:00:00.000Z
IzqoXFH1Zk,"45.5475111,-94.2131495",Angushire Golf,St. Cloud,Minnesota,US,2024-02-11T05:00:00.000Z
OAgMXqJtQr,"38.3518609,-90.2011452",Annbriar Golf Course,Waterloo,Illinois,US,2024-02-11T05:00:00.000Z
gyGUnmReo0,"33.6515398,-85.8182276",Anniston Country Club,Anniston,Alabama,US,2024-02-11T05:00:00.000Z
G3DwsJT2rG,"34.10528019,-84.4172255",Ansley Golf Club At Settindown Creek,Roswell,Georgia,US,2024-02-11T05:00:00.000Z
z4GHPUvidY,"38.7161484,-121.399496",Antelope Greens Golf Course,Antelope,California,US,2024-02-11T05:00:00.000Z
htQGe5qYrI,"34.639734,-112.429463",Antelope Hills Golf Courses,Prescott,Arizona,US,2024-02-11T05:00:00.000Z
DZHIkYad5Y,"34.6055995,-118.141648",Antelope Valley Country Club,Palmdale,California,US,2024-02-11T05:00:00.000Z
b2G45luvq7,"35.9655523,-115.082589",Anthem Country Club,Henderson,Nevada,US,2024-02-11T05:00:00.000Z
dDNN1Gn0AG,"33.8659727,-112.119433",Anthem Golf & Country Club,New River,Arizona,US,2024-02-11T05:00:00.000Z
0kWYAbDUhN,"32.023367,-106.651856",Anthony Country Club,Anthony,New Mexico,US,2024-02-11T05:00:00.000Z
GVOrrMGUT7,"41.0473345,-73.8019289",Anthony Scopelliti,White Plains,New York,US,2024-02-11T05:00:00.000Z
pi2rqtzHqe,"42.44657499,-88.1117543",Antioch Golf Club,Antioch,Illinois,US,2024-02-11T05:00:00.000Z
ARll6Sy04h,"44.40206,-85.6894679",Antioch Hills Golf Club,Mesick,Michigan,US,2024-02-11T05:00:00.000Z
ADsmKOJGTX,"38.9762396,-104.603013",Antler Creek Drive,Black Forest,Colorado,US,2024-02-11T05:00:00.000Z
LtEeywVPAc,"45.1707505,-85.3546612",Antrim Dells Golf Course and The Sunset Bar & Grill,Ellsworth,Michigan,US,2024-02-11T05:00:00.000Z
ZqBykFA9Ha,"33.3611077,-110.670435",Apache Stronghold Golf Course,San Carlos,Arizona,US,2024-02-11T05:00:00.000Z
